AtomicNumber,AtomicMass,Period,Group,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,SpecificHeat,NumberofShells
1,1.007,1,1,0.79,2.2,13.5984,8.99e-05,14.175,20.28,14.304,1
2,4.002,1,18,0.49,,24.5874,0.000179,0.95,4.22,5.193,1
3,6.941,2,1,2.1,0.98,5.3917,0.534,453.85,1615.0,3.582,2
4,9.012,2,2,1.4,1.57,9.3227,1.85,1560.15,2742.0,1.825,2
5,10.811,2,13,1.2,2.04,8.298,2.34,2573.15,4200.0,1.026,2
6,12.011,2,14,0.91,2.55,11.2603,2.27,3948.15,4300.0,0.709,2
7,14.007,2,15,0.75,3.04,14.5341,0.00125,63.29,77.36,1.04,2
8,15.999,2,16,0.65,3.44,13.6181,0.00143,50.5,90.2,0.918,2
9,18.998,2,17,0.57,3.98,17.4228,0.0017,53.63,85.03,0.824,2
10,20.18,2,18,0.51,,21.5645,0.0009,24.703,27.07,1.03,2
11,22.99,3,1,2.2,0.93,5.1391,0.971,371.15,1156.0,1.228,3
12,24.305,3,2,1.7,1.31,7.6462,1.74,923.15,1363.0,1.023,3
13,26.982,3,13,1.8,1.61,5.9858,2.7,933.4,2792.0,0.897,3
14,28.086,3,14,1.5,1.9,8.1517,2.33,1683.15,3538.0,0.705,3
15,30.974,3,15,1.2,2.19,10.4867,1.82,317.25,553.0,0.769,3
16,32.065,3,16,1.1,2.58,10.36,2.07,388.51,717.8,0.71,3
17,35.453,3,17,0.97,3.16,12.9676,0.00321,172.31,239.11,0.479,3
18,39.948,3,18,0.88,,15.7596,0.00178,83.96,87.3,0.52,3
19,39.098,4,1,2.8,0.82,4.3407,0.862,336.5,1032.0,0.757,4
20,40.078,4,2,2.2,1.0,6.1132,1.54,1112.15,1757.0,0.647,4
21,44.956,4,3,2.1,1.36,6.5615,2.99,1812.15,3109.0,0.568,4
22,47.867,4,4,2.0,1.54,6.8281,4.54,1933.15,3560.0,0.523,4
23,50.942,4,5,1.9,1.63,6.7462,6.11,2175.15,3680.0,0.489,4
24,51.996,4,6,1.9,1.66,6.7665,7.15,2130.15,2944.0,0.449,4
25,54.938,4,7,1.8,1.55,7.434,7.44,1519.15,2334.0,0.479,4
26,55.845,4,8,1.7,1.83,7.9024,7.87,1808.15,3134.0,0.449,4
27,58.933,4,9,1.7,1.88,7.881,8.86,1768.15,3200.0,0.421,4
28,58.693,4,10,1.6,1.91,7.6398,8.91,1726.15,3186.0,0.444,4
29,63.546,4,11,1.6,1.9,7.7264,8.96,1357.75,2835.0,0.385,4
30,65.38,4,12,1.5,1.65,9.3942,7.13,692.88,1180.0,0.388,4
31,69.723,4,13,1.8,1.81,5.9993,5.91,302.91,2477.0,0.371,4
32,72.64,4,14,1.5,2.01,7.8994,5.32,1211.45,3106.0,0.32,4
33,74.922,4,15,1.3,2.18,9.7886,5.78,1090.15,887.0,0.329,4
34,78.96,4,16,1.2,2.55,9.7524,4.81,494.15,958.0,0.321,4
35,79.904,4,17,1.1,2.96,11.8138,3.12,266.05,332.0,0.474,4
36,83.798,4,18,1.0,,13.9996,0.00373,115.93,119.93,0.248,4
37,85.468,5,1,3.0,0.82,4.1771,1.53,312.79,961.0,0.363,5
38,87.62,5,2,2.5,0.95,5.6949,2.64,1042.15,1655.0,0.301,5
39,88.906,5,3,2.3,1.22,6.2173,4.47,1799.15,3609.0,0.298,5
40,91.224,5,4,2.2,1.33,6.6339,6.51,2125.15,4682.0,0.278,5
41,92.906,5,5,2.1,1.6,6.7589,8.57,2741.15,5017.0,0.265,5
42,95.96,5,6,2.0,2.16,7.0924,10.2,2890.15,4912.0,0.251,5
44,101.07,5,8,1.9,2.2,7.3605,12.4,2523.15,4423.0,0.238,5
45,102.906,5,9,1.8,2.28,7.4589,12.4,2239.15,3968.0,0.243,5
46,106.42,5,10,1.8,2.2,8.3369,12.0,1825.15,3236.0,0.244,5
47,107.868,5,11,1.8,1.93,7.5762,10.5,1234.15,2435.0,0.235,5
48,112.411,5,12,1.7,1.69,8.9938,8.69,594.33,1040.0,0.232,5
49,114.818,5,13,2.0,1.78,5.7864,7.31,429.91,2345.0,0.233,5
50,118.71,5,14,1.7,1.96,7.3439,7.29,505.21,2875.0,0.228,5
51,121.76,5,15,1.5,2.05,8.6084,6.69,904.05,1860.0,0.207,5
52,127.6,5,16,1.4,2.1,9.0096,6.23,722.8,1261.0,0.202,5
53,126.904,5,17,1.3,2.66,10.4513,4.93,386.65,457.4,0.214,5
54,131.293,5,18,1.2,,12.1298,0.00589,161.45,165.03,0.158,5
55,132.905,6,1,3.3,0.79,3.8939,1.87,301.7,944.0,0.242,6
56,137.327,6,2,2.8,0.89,5.2117,3.59,1002.15,2170.0,0.204,6
57,138.905,6,3,2.7,1.1,5.5769,6.15,1193.15,3737.0,0.195,6
58,140.116,6,3,2.7,1.12,5.5387,6.77,1071.15,3716.0,0.192,6
59,140.908,6,3,2.7,1.13,5.473,6.77,1204.15,3793.0,0.193,6
60,144.242,6,3,2.6,1.14,5.525,7.01,1289.15,3347.0,0.19,6
62,150.36,6,3,2.6,1.17,5.6437,7.52,1345.15,2067.0,0.197,6
63,151.964,6,3,2.6,1.2,5.6704,5.24,1095.15,1802.0,0.182,6
64,157.25,6,3,2.5,1.2,6.1501,7.9,1585.15,3546.0,0.236,6
65,158.925,6,3,2.5,1.2,5.8638,8.23,1630.15,3503.0,0.182,6
66,162.5,6,3,2.5,1.22,5.9389,8.55,1680.15,2840.0,0.17,6
67,164.93,6,3,2.5,1.23,6.0215,8.8,1743.15,2993.0,0.165,6
68,167.259,6,3,2.5,1.24,6.1077,9.07,1795.15,3503.0,0.168,6
69,168.934,6,3,2.4,1.25,6.1843,9.32,1818.15,2223.0,0.16,6
70,173.054,6,3,2.4,1.1,6.2542,6.97,1097.15,1469.0,0.155,6
71,174.967,6,3,2.3,1.27,5.4259,9.84,1936.15,3675.0,0.154,6
72,178.49,6,4,2.2,1.3,6.8251,13.3,2500.15,4876.0,0.144,6
73,180.948,6,5,2.1,1.5,7.5496,16.7,3269.15,5731.0,0.14,6
74,183.84,6,6,2.0,2.36,7.864,19.3,3680.15,5828.0,0.132,6
75,186.207,6,7,2.0,1.9,7.8335,21.0,3453.15,5869.0,0.137,6
76,190.23,6,8,1.9,2.2,8.4382,22.6,3300.15,5285.0,0.13,6
77,192.217,6,9,1.9,2.2,8.967,22.6,2716.15,4701.0,0.131,6
78,195.084,6,10,1.8,2.28,8.9587,21.5,2045.15,4098.0,0.133,6
79,196.967,6,11,1.8,2.54,9.2255,19.3,1337.73,3129.0,0.129,6
80,200.59,6,12,1.8,2.0,10.4375,13.5,234.43,630.0,0.14,6
81,204.383,6,13,2.1,2.04,6.1082,11.9,577.15,1746.0,0.129,6
82,207.2,6,14,1.8,2.33,7.4167,11.3,600.75,2022.0,0.129,6
83,208.98,6,15,1.6,2.02,7.2856,9.81,544.67,1837.0,0.122,6
84,210.0,6,16,1.5,2.0,8.417,9.32,527.15,1235.0,,6
85,210.0,6,17,1.4,2.2,9.3,7.0,575.15,610.0,,6
86,222.0,6,18,1.3,,10.7485,0.00973,202.15,211.3,0.094,6
87,223.0,7,1,,0.7,4.0727,1.87,300.15,950.0,,7
88,226.0,7,2,,0.9,5.2784,5.5,973.15,2010.0,,7
89,227.0,7,3,,1.1,5.17,10.1,1323.15,3471.0,0.12,7
90,232.038,7,3,,1.3,6.3067,11.7,2028.15,5061.0,0.113,7
91,231.036,7,3,,1.5,5.89,15.4,1873.15,4300.0,,7
92,238.029,7,3,,1.38,6.1941,19.0,1405.15,4404.0,0.116,7
